N,P,K,temperature,humidity,ph,rainfall,label
103,107,111,27.5,86.3,6.502985292,285.9,Wheat
39,72,190,37.6,89.8,7.038096361,72.4,Wheat
152,106,150,39.6,45.6,7.840207144,104.9,Wheat
60,6,30,29.9,75.9,6.980400905,198.5,Wheat
177,29,104,15.7,59.2,7.628472891,267.9,Wheat
195,55,39,37.5,77.9,7.073453503,268.4,Wheat
182,17,167,29.6,89.9,5.70080568,101.8,Wheat
141,77,186,34.5,81,5.718627178,64.6,Wheat
22,188,71,20.9,45.7,6.685346424,143.5,Wheat
200,115,66,37.9,58.7,6.336253525,107.3,Wheat
27,133,30,31.2,85.3,5.386167788,164.7,Wheat
76,193,104,36.4,56.7,7.50283396,51.1,Wheat
73,143,184,39.1,44,5.108681786,154.3,Wheat
141,198,8,33.1,52.4,6.98435366,105.1,Wheat
102,147,190,30.9,65,6.94801983,251.7,Wheat
198,133,94,30.3,57.3,7.042299069,54,Wheat
173,71,23,17.2,66,6.249050656,146.6,Wheat
121,68,88,22.1,56.2,6.970859754,248.3,Wheat
139,152,72,25.9,57.7,5.953933276,200.6,Wheat
140,177,12,36,43.6,5.85393208,51,Wheat
75,88,58,20.9,54.3,6.442475375,298.5,Wheat
15,101,150,16.7,59.9,5.070175667,247.2,Wheat
175,44,50,38.3,58.9,6.012632591,212.3,Wheat
136,197,99,30.7,81.5,6.254028451,288,Wheat
10,181,127,24.6,52.9,7.375482851,287.5,Wheat
47,49,38,25,40.8,7.778915154,280,Wheat
138,115,174,32.2,58.6,6.286500176,118.9,Wheat
21,2,148,23.9,86.6,7.070959995,254.9,Wheat
15,189,129,33.4,73.3,6.244841491,151.5,Wheat
145,134,148,34.4,56.6,6.043304899,94.4,Wheat
194,156,20,26.8,65.3,5.824709117,84.4,Wheat
144,73,80,22.3,43.7,6.357389366,191.3,Wheat
178,173,160,18.4,78.6,6.364134968,127.4,Wheat
132,151,74,39.6,78.2,5.01450727,96.5,Wheat
198,91,128,21.6,74.7,6.149410611,279.4,Wheat
30,154,31,30.5,89.1,5.950660556,224.1,Wheat
47,72,35,28.3,65.5,5.960370061,132.3,Wheat
14,26,171,32.9,86.4,5.561398642,113.4,Wheat
76,192,144,18.3,47.5,7.416245107,119.6,Wheat
5,79,175,29.5,44.5,5.583370042,254.2,Wheat
46,149,79,23.8,56.5,6.430010215,226.9,Wheat
72,27,17,29.4,88.9,5.534878156,286.3,Wheat
56,165,173,38.9,71.8,6.903985986,283.8,Wheat
148,23,164,26.6,75.8,6.271478838,164.9,Wheat
151,144,110,26,59.8,7.224285503,87.4,Wheat
58,35,151,29.2,62.2,6.13428721,281.5,Wheat
6,55,17,18.1,77,5.206373153,264.5,Wheat
135,64,79,37,53.7,7.782051313,254.6,Wheat
37,66,117,31.5,55.5,7.062779015,155.7,Wheat
101,104,60,22.7,41.3,7.730367824,86,Wheat
104,43,88,32.6,42.9,5.286203711,99.4,Wheat
23,111,158,28.7,78.3,6.766240045,231.1,Wheat
193,170,184,31.5,79.2,7.382762603,107.5,Wheat
98,45,36,20,51.8,5.658169482,283.2,Wheat
30,136,162,17,81,5.543360238,57.7,Wheat
181,18,98,30.9,68,6.215109715,51,Wheat
21,180,127,24.1,61.7,7.120272972,210.7,Wheat
85,171,114,38.7,40.9,5.950647577,151.8,Wheat
92,2,118,21,50.3,7.236705436,274.4,Wheat
176,40,101,20.5,87.7,6.501697816,232,Wheat
115,159,96,26.8,70.5,7.592490617,168.4,Wheat
35,98,16,32.8,53.8,5.875345751,161.6,Wheat
147,171,44,22.9,80.1,6.932400225,60.5,Wheat
56,18,26,30.9,67.5,6.946209881,286.7,Wheat
131,190,54,39.9,56.9,5.739175027,186.1,Wheat
172,90,182,17,41.8,6.738652179,287.8,Wheat
64,77,177,31.5,81.6,5.594819626,270,Wheat
83,54,28,18,82.9,6.946636369,280.3,Wheat
109,2,41,33.3,78.1,5.012139669,288.6,Wheat
3,2,115,38,77.4,6.363472208,130.5,Wheat
182,150,69,37.1,88.5,6.880431223,65,Wheat
164,164,128,35.6,52.4,7.300410836,249.8,Wheat
105,184,116,15.5,60.2,6.587918708,271.8,Wheat
98,53,145,39.3,44.3,7.283736617,220.4,Wheat
114,38,131,19.4,81.9,7.023936392,68.2,Wheat
136,172,44,24,77,6.939083505,213.7,Wheat
91,106,138,27.2,45.7,7.868474653,121.8,Wheat
27,142,25,20.8,41.9,5.005306977,218,Wheat
180,76,78,28.3,73.5,6.136131869,224.8,Wheat
36,13,139,22.2,71.4,7.524080076,214.9,Wheat
29,166,144,27.4,81.1,5.706943251,186.8,Wheat
